Name,Street,City,Zip,County,Type,SU,M,T,W,TH,F,S,Hours
Seton Food Pantry,3494 State Route 31 ,Baldwinsville ,13027,Onondaga,Food Pantry,,,Y,Y,,,,"T, W 9:00 - 11:00 am, 1st T 6pm-8pm"
Skaneateles Ecumenical Food Pantry,819 West Genesee Street Rd ,Skaneateles ,13152,Onondaga,Food Pantry,,,Y,,Y,,,"T 10-11am, Th 7-8pm"
Southern Missionary Baptist Pantry,3143 Midland Ave.,Syracuse,13205,Onondaga,Food Pantry,,,,,,,Y,2nd S 9:30am-12pm
Southwest Community Center Food Pantry,401 South Ave ,Syracuse,13204,Onondaga,Food Pantry,,,Y,,,,,1st & 4th T of the month 10am-2pm
Spafford Food Pantry (Scott UMC),6816 New York 41,Homer,13077,Onondaga,Food Pantry,,,,,,Y,,3rd F 1-5pm
St Brigid / St Joseph Pantry,318 Herkimer St. ,Syracuse,13204,Onondaga,Food Pantry,,Y,Y,,,,,M & T 9:30am-12pm
St Celcelia Food Pantry,1001 Woods Road,Solvay,13209,Onondaga,Food Pantry,,,Y,,Y,,,T & Th 9am-12pm
St Joseph the Worker Pantry,1001 Tulip St,Liverpool,13088,Onondaga,Food Pantry,,Y,Y,Y,Y,,,"M 12-3pm, T 1:30-3:30pm, W 3-5pm, Th 12-2pm"
St Joseph's Food Pantry Camillus,5600 W. Genesee St.,Camillus,13031,Onondaga,Food Pantry,,Y,,Y,,Y,,"M 12-4pm, W 6-8pm, F 1-3pm"
St Leo's / St. Pat's Food Pantry,10 Onondaga St. ,Tully,13159,Onondaga,Food Pantry,,,,Y,,,,2nd & 4th W 1-3pm and on call for emergency
St Lucy's Food Pantry,432 Gifford St,Syracuse,13204,Onondaga,Food Pantry,Y,,Y,Y,Y,,,"T-Th 11am-1pm, Su 11am-12pm"
St. Margaret's Food Pantry,203 Roxboro Rd.,Mattydale,13211,Onondaga,Food Pantry,,Y,Y,Y,Y,,,"M-Th 9am-2:30pm, W 9am-1pm"
St. Matthews Food Pantry,229 West Yates St. ,East Syracuse,13057,Onondaga,Food Pantry,,Y,Y,,Y,,,"M-Th 9:30am-12:15pm, 4th Th appt. only 7-8:15pm"
St. Paul's Lutheran Church Food Pantry,228 Davis Street ,Syracuse,13204,Onondaga,Food Pantry,,,,Y,,Y,,W & F 10am-12pm
St. Rose of Lima Food Pantry,409 South Main St. ,North Syracuse,13212,Onondaga,Food Pantry,,Y,Y,Y,Y,Y,,"M & W 9am-2pm, T & Th 9am-2pm and 5pm-7pm, F 10am-12pm"
Syracuse Northeast Community Center Food Pantry,716 Hawley Ave,Syracuse,13203,Onondaga,Food Pantry,,Y,Y,Y,,Y,,"M, W, F 9am-2pm, T 9am-4pm"
Temple Society of Concord Food Pantry,910 Madison St. ,Syracuse,13210,Onondaga,Food Pantry,,,,,,Y,,"Two Fridays a month (dates will be posted) 9:30 am - 1:00 pm, except holidays"
Trinity Assembly of God Food Pantry,4398 State Route 31 ,Clay,13041,Onondaga,Food Pantry,,Y,,Y,,,,M & W 9:30am-1:30pm
United Church of Christ Bayberry Food Pantry,215 Blackberry Rd,Liverpool,13090,Onondaga,Food Pantry,,,Y,,,,,Second and Last T 5pm - 6:30 pm
University Christian Fellowship Food Pantry,512 Westcott St,Syracuse,13210,Onondaga,Food Pantry,,,,,,,Y,2nd & 3rd Su 9-10am
University United Methodist Church Food Pantry,1085 E. Gensee St.,Syracuse,13210,Onondaga,Food Pantry,,,,,,Y,,F 10am-12pm
Valley Community Safe Place,2929 Midland Ave ,Syracuse,13205,Onondaga,Food Pantry,,,,,Y,,,Th 12pm-2pm
Vineyard Christian Food Pantry,312 Lakeside Rd. ,Syracuse,13209,Onondaga,Food Pantry,,,,,,,Y,S 1-3:30 pm
Westvale Seventh Day Adventist Food Pantry,2511 W. Genesee St. ,Syracuse,13219,Onondaga,Food Pantry,,Y,,,,,,M 2-4pm
